Industry Description,Number of establishments,Total employment,Paid employees,Total income,Total expense,Compensation,Other expense,Value of output,Intermediate expense,Value added,Gross addition to tangible fixed assets,Change in inventories,Subsidies,Sales from e-commerce transactions
Manufacture of hand-made paper,5,720,720,91113,89078,32582,56496,83016,30430,42103,0,-4503,0,0
"Manufacture of pulp, paper and paperboard, n.e.c.",11,748,746,2776669,2380084,140450,2239635,2020430,1317024,586512,7590,-120923,0,0
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,83,8187,8176,27915880,24394266,1521493,22872773,27524911,20682887,5844232,503359,159923,0,0
Manufacture of household and personal hygiene paper and cellulose wadding products,15,1955,1954,4715509,4523865,284620,4239245,4598866,3395447,660842,4842,-218175,0,0
"Manufacture of wadding of textile materials and articles of wadding (e.g. sanitary towels, tampons, etc.)",7,1005,1005,5230007,4921942,182747,4739194,5053308,4170022,579746,17921,-186147,0,0
Manufacture of other articles of paper,43,4685,4681,12800809,11771125,980696,10790429,12848646,9975783,2419330,339662,163950,138973,0
Manufacture of other articles of paperboard,13,635,632,1861668,1597878,406465,1191413,1862761,921499,798976,10118,16194,0,0
Printing,317,16376,16267,25757998,23656467,3380443,20276024,25660140,16566856,6857220,128120,414365,0,0
"Electrotyping, stereotyping and photoengraving",..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bookbinding and related work,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Service activities related to printing, n.e.c.",20,885,885,1292698,1191808,152644,1039164,1272116,928126,284345,6136,4703,0,0
Reproduction of video and computer tapes from mastercopies,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Reproduction of floppy, hard or compact disks",3,407,407,356967,303688,52871,250817,355972,185886,119626,4762,3778,0,0
Film and video reproduction,c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of refined petroleum products,11,3046,3043,401329171,388688272,6094055,382594217,388664642,331480265,35168809,15244243,-27226000,0,0
Manufacture of other fuel products,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of ethanol,3,621,621,3511100,3238227,153772,3084456,3355400,2583910,578025,104665,-13587,0,0
Manufacture of industrial (compressed and liquefied) gases,37,2380,2368,16481068,13831618,1151316,12680302,15233119,9867465,4155916,1029634,169809,0,0
Manufacture of inorganic salts and compounds,5,331,331,14901252,14577890,180867,14397023,14313266,13958214,215274,720706,-542876,0,112500
Manufacture of ethyl alcohol,4,363,363,3950143,3441900,156438,3285462,3981547,2632139,1075068,105636,194543,0,0
Manufacture of alcohol except ethyl/ethanol,4,663,663,5886368,4863445,559870,4303575,5941861,2908607,1667915,279809,120745,0,0
"Manufacture of inorganic acids, alkalis and chlorine",3,126,126,154984,187915,20968,166947,152871,95083,47420,821,-2137,0,0
Manufacture of organic acids and organic compounds,5,248,248,534843,527998,56651,471347,534563,436974,85074,8931,-36163,0,0
"Manufacture of basic chemicals, except fertilizers and nitrogen compounds, n.e.c.",13,1401,1401,23497960,22382558,677977,21704582,24055908,20827611,2161650,1870167,508485,0,0
Manufacture of fertilizers and nitrogen compounds,9,1352,1352,17286460,17103160,622563,16480597,17170398,13140455,2618903,130430,108794,0,0
Manufacture of plastic synthetic resins,13,865,865,15825297,15147134,381422,14765712,14194690,12056144,1472216,124639,-1670225,0,0
Manufacture of plastic materials except man-made fiber and glass fiber,4,334,334,281958,257260,59031,198228,281079,152342,98321,18526,7220,0,0
Manufacture of pesticides and other agro-chemical products,11,872,872,8343386,7802947,490389,7312557,8444836,5983249,1592938,12532,406858,0,0
Manufacture of paints,36,3643,3643,32042910,28678219,1039174,27639045,31253082,24834452,4974760,294100,-583254,0,0
"Manufacture of varnishes, lacquers, shellac and stains",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of paint removers, thinners, and brush cleaners",s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of pigments and other coloring matter of a kind used in the manufacture of paints or by artists or other painters,3,240,240,2715250,2143731,76851,2066880,2554367,2053572,420603,67283,59582,0,0
Manufacture of printing ink,16,997,997,2889638,2740776,244221,2496555,2740020,2089219,500492,22039,-147728,0,0
"Manufacture of paint products, n.e.c.",4,204,204,975419,916713,59992,856720,891234,743340,139726,10251,47569,0,0
Manufacture of soap and detergents,40,4796,4791,89845812,72129953,2874020,69255933,87845793,59277750,21967147,37134,-163088,0,0
"Manufacture of cleaning preparations, except soap and detergents",s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of waxes and polishing preparations,s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of perfumes, cosmetics and other toilet preparations",51,5626,5618,16183268,14850338,1784460,13065878,15816869,9421516,4022375,489084,-77930,0,0
"Manufacture of explosives, fireworks and firecrackers",4,716,714,2934434,2232196,246527,1985669,2879037,1648911,992560,1142,-106887,0,0
Manufacture of matches,3,909,898,1393043,1228346,214301,1014045,1383643,696216,488368,12329,58433,0,0
Manufacture of writing and drawing ink,3,233,233,305064,298261,41466,256796,306054,194031,61669,1477,9223,0,0
Manufacture of glues and adhesives,13,1292,1292,8357656,6582174,617555,5964619,8365992,4660741,2724486,78089,32468,0,0
Manufacture of activated carbon,5,359,359,2622356,2518722,130660,2388062,2552890,2107835,286789,58179,74210,0,0
"Manufacture of miscellaneous chemical products, n.e.c.",9,1116,1116,5192787,1445486,311582,1133905,1695316,618372,686260,51715,45407,0,0
Manufacture of synthetic or artificial filament yarn,s,s,s,s,s,s,s,s,s,s,s,s,s,s
