industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Manufacture of dolls and doll garments,15384,2015,A,19,2718,2717,6320762.00,6026582.00,546515.00,5480068.00,6226215.00,4853233.00,978016.00,18075.00,-395270.00,0.00,0.00
"Manufacture of macaroni, noodles, couscous and similar farinaceous products",1552,2015,A,71,8105,8096,55810918.00,48927777.00,4905378.00,44022399.00,53797485.00,34706337.00,11409733.00,238166.00,1088718.00,0.00,0.00
"Operation of steel works and rolling mills, n.e.c.",15230,2015,B,15,141,141,155846.00,156473.00,29571.00,126902.00,139320.00,90529.00,20241.00,0.00,3753.00,0.00,0.00
Sugarcane milling,1544,2015,B,9,107,78,19081.00,15927.00,3813.00,12114.00,18951.00,8786.00,8222.00,38.00,0.00,0.00,0.00
Cassava flour milling,1533,2015,B,9,79,72,8573.00,7978.00,1785.00,6193.00,9244.00,6354.00,2718.00,0.00,661.00,60.00,0.00
"Manufacture of primary plastic products (e.g. sheets, film, plates, etc.)",15200,2015,A,12,644,644,1974779.00,2010683.00,142741.00,1867942.00,1958652.00,1554914.00,312397.00,20968.00,61208.00,0.00,0.00
Manufacture and assembly of motorcycles,15359,2015,B,5,63,63,719312.00,696485.00,9703.00,686782.00,719039.00,655489.00,56581.00,0.00,28777.00,0.00,0.00
Manufacture of electric motors and generators,15282,2015,A,5,341,341,784472.00,749513.00,85401.00,664112.00,771266.00,576653.00,150787.00,13177.00,-5285.00,0.00,0.00
Manufacture of side cars,15362,2015,A,3,152,146,101940.00,100063.00,14888.00,85174.00,75460.00,56223.00,18057.00,0.00,-5718.00,0.00,0.00
Manufacture of candles,15396,2015,A,3,138,138,297867.00,281703.00,15325.00,266379.00,305828.00,267414.00,33830.00,0.00,9219.00,0.00,0.00
"Manufacture of gas or electric welding, brazing or soldering machines",15328,2015,A,9,711,705,1753067.00,1601985.00,205105.00,1396881.00,1719019.00,1099264.00,479042.00,130425.00,-70016.00,0.00,0.00
Manufacture of printing ink,15174,2015,B,7,71,71,134282.00,106204.00,12764.00,93440.00,134280.00,82530.00,42963.00,0.00,-1731.00,0.00,0.00
"Manufacture of luggage, handbags and wallets of leather and imitation leather",15110,2015,A,49,11372,11315,7240197.00,6641868.00,1526549.00,5115319.00,7008077.00,4527367.00,2329557.00,272992.00,-1093.00,0.00,0.00
Roasting of nut or manufacture of nut foods and pastes,1515,2015,B,19,150,113,15619.00,14275.00,3639.00,10636.00,15691.00,9907.00,5219.00,0.00,-1521.00,0.00,0.00
"Manufacture of plastic articles for packing goods (e.g. boxes, bags, sacks, etc)",15195,2015,A,252,24108,23980,57677799.00,55651873.00,5291033.00,50360840.00,57163617.00,44090806.00,10321282.00,1043181.00,-805677.00,97945.00,0.00
