industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
"Manufacture of basic chemicals, except fertilizers and nitrogen compounds, n.e.c.",15165,2015,A,13,1401,1401,23497960.00,22382558.00,677977.00,21704582.00,24055908.00,20827611.00,2161650.00,1870167.00,508485.00,0.00,0.00
Manufacture of motor vehicles,15350,2015,B,15,195,188,319239.00,277201.00,12823.00,264378.00,354604.00,272143.00,68314.00,0.00,25237.00,0.00,0.00
Manufacture of rattan and cane containers,15133,2015,B,7,76,75,2556.00,2017.00,711.00,1306.00,2541.00,990.00,1496.00,0.00,6.00,0.00,0.00
Manufacture of wooden coffin,15398,2015,B,16,100,96,90716.00,77774.00,10903.00,66871.00,90233.00,51252.00,29287.00,0.00,3844.00,0.00,0.00
"Manufacture of drinks flavored with fruit juices, syrups or other materials",1570,2015,B,10,117,117,325892.00,329375.00,25046.00,304329.00,316082.00,251149.00,23478.00,3237.00,-12333.00,0.00,0.00
Manufacture of fish paste (bagoong) and fish sauce(patis),156,2015,A,16,925,913,899811.00,767511.00,173533.00,593978.00,905809.00,460354.00,335525.00,-350.00,31690.00,0.00,0.00
Manufacture of clay building materials,15209,2015,B,7,60,60,25332.00,25295.00,4326.00,20970.00,24785.00,16810.00,6657.00,0.00,-3175.00,0.00,0.00
"Manufacture of partitions, shelves, lockers and office and store fixtures",15370,2015,A,13,798,798,876397.00,814899.00,148688.00,666211.00,862553.00,604485.00,231447.00,7693.00,8272.00,0.00,0.00
Manufacture of uninterruptible power supplies (ups),15303,2015,A,3,4194,4194,42212858.00,35392516.00,1374310.00,34018206.00,41646882.00,30567548.00,8299698.00,196611.00,-719897.00,0.00,0.00
Manufacture of metal containers used for the packing or conveyance of goods,15257,2015,A,35,3768,3756,16230678.00,15992480.00,938870.00,15053611.00,15561715.00,13081198.00,1928760.00,468864.00,-837051.00,0.00,0.00
Manufacture of rattan and cane containers,15133,2015,A,5,331,331,218144.00,187526.00,31955.00,155570.00,208793.00,139999.00,58384.00,7616.00,-9928.00,0.00,0.00
Manufacture of asphalt products,15220,2015,B,5,70,70,401021.00,295580.00,8670.00,286909.00,386132.00,221097.00,160467.00,-1312.00,-14670.00,0.00,0.00
"Manufacture of perfumes, cosmetics and other toilet preparations",15179,2015,A,51,5626,5618,16183268.00,14850338.00,1784460.00,13065878.00,15816869.00,9421516.00,4022375.00,489084.00,-77930.00,0.00,0.00
"Manufacture of sanitary ware, vitreous china plumbing fittings and fixtures",15213,2015,A,6,8360,8359,33835782.00,29258999.00,1676761.00,27582238.00,34039421.00,26655299.00,7123355.00,585127.00,345295.00,0.00,0.00
"Manufacture of surgical dressings, medicated wadding , fracture bandages, catgut, and other prepared sutures",15189,2015,A,3,480,480,496656.00,445774.00,66274.00,379501.00,484568.00,318912.00,131031.00,0.00,-22633.00,0.00,0.00
"Manufacture of chocolate and sugar confectionery products, n.e.c.",1551,2015,B,3,46,46,28106.00,26692.00,9104.00,17589.00,27973.00,15977.00,11622.00,0.00,-305.00,0.00,0.00
Manufacture of candles,15396,2015,B,20,190,182,174701.00,168461.00,17643.00,150818.00,172353.00,136832.00,28811.00,5236.00,-6681.00,0.00,0.00
"Service activities related to printing, n.e.c.",15152,2015,B,81,914,876,1099480.00,1042409.00,127666.00,914743.00,1099428.00,878170.00,199660.00,250.00,-2742.00,0.00,0.00
Processing of seaweeds; manufacture of agar-agar or carageenan,157,2015,B,25,194,190,925642.00,888845.00,23639.00,865208.00,957205.00,818800.00,72363.00,12190.00,106590.00,0.00,0.00
Women's and girls' and babies' garment manufacturing,15100,2015,A,212,40644,40591,26748898.00,23788200.00,6804516.00,16983684.00,26944527.00,14450839.00,10732582.00,488771.00,596856.00,0.00,0.00
"Manufacture of plastic articles for packing goods (e.g. boxes, bags, sacks, etc)",15195,2015,B,131,1322,1322,2057871.00,1981343.00,173215.00,1808128.00,1851463.00,1660202.00,303853.00,12358.00,-562793.00,0.00,0.00
"Integrated pulp,paper and paperboard milling",15139,2015,B,3,39,37,48843.00,44296.00,5351.00,38945.00,21810.00,10176.00,10387.00,458.00,-471.00,0.00,0.00
"Manufacture of plastic window and door screen, shades and venetian blinds",15202,2015,B,22,220,220,133153.00,133950.00,15340.00,118610.00,133153.00,101270.00,18145.00,0.00,1768.00,0.00,0.00
Manufacture of wooden containers,15129,2015,B,17,168,164,87940.00,78470.00,12018.00,66452.00,91845.00,56360.00,24777.00,-4452.00,9155.00,0.00,0.00
Manufacture of machinery for food processing,15340,2015,B,4,30,29,18573.00,18519.00,1420.00,17099.00,18991.00,13376.00,3466.00,0.00,27.00,0.00,0.00
"Manufacture of tanks, reservoirs and containers of metal",15245,2015,B,22,235,235,660816.00,617494.00,23106.00,594388.00,656033.00,553448.00,79014.00,99522.00,-5594.00,0.00,0.00
Manufacture of unit air-conditioners,15324,2015,A,9,1081,1081,14660495.00,13030764.00,1189283.00,11841481.00,10858518.00,6471322.00,3090615.00,325215.00,-81707.00,0.00,0.00
"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",1516,2015,B,20,270,212,118735.00,64961.00,11044.00,53917.00,118256.00,46380.00,69481.00,40.00,11355.00,0.00,0.00
Manufacture of refined petroleum products,15156,2015,B,4,44,44,1005145.00,944305.00,26849.00,917456.00,960256.00,751294.00,124696.00,2654.00,-93434.00,0.00,0.00
Manufacture of motor vehicles,15350,2015,A,33,6647,6646,209898115.00,113234112.00,4808365.00,108425746.00,200286810.00,89733111.00,104551418.00,1192472.00,6693034.00,0.00,0.00
"Manufacture of other beverages, n.e.c.",1573,2015,B,3,38,36,5539.00,5571.00,1417.00,4154.00,5539.00,3574.00,1819.00,837.00,410.00,0.00,0.00
Manufacture of pigments and other coloring matter of a kind used in the manufacture of paints or by artists or other painters,15173,2015,B,3,14,11,19063.00,22018.00,3077.00,18940.00,18804.00,14767.00,1575.00,421.00,125.00,0.00,0.00
Manufacture of heavy machinery and equipment used for mining and quarrying,15338,2015,A,4,375,375,1673465.00,1625034.00,84636.00,1540398.00,1606634.00,1253438.00,174124.00,0.00,258119.00,0.00,0.00
Manufacture of mechanical implements for crop production,15331,2015,B,3,26,23,8489.00,6631.00,2509.00,4122.00,5232.00,2752.00,4930.00,0.00,-437.00,0.00,0.00
Manufacture of shoes made of textile materials with applied soles,15115,2015,B,3,29,29,96330.00,96104.00,15495.00,80609.00,95637.00,70635.00,19098.00,1816.00,-12684.00,0.00,0.00
Manufacture of leather shoes,15112,2015,A,47,4042,3987,2245684.00,2144393.00,418696.00,1725696.00,2263738.00,1486531.00,633015.00,37347.00,79118.00,0.00,0.00
Manufacture of general hardware,15254,2015,B,7,105,105,96570.00,73399.00,22978.00,50421.00,101140.00,42406.00,48321.00,0.00,8743.00,0.00,0.00
Manufacture of other builders' carpentry and joinery; millworking,15128,2015,A,13,5168,5155,24266272.00,22821332.00,933126.00,21888206.00,24419581.00,20949260.00,2774764.00,557034.00,607330.00,0.00,0.00
Aluminum and aluminum base alloy casting,15238,2015,A,13,1955,1955,4707602.00,4034002.00,440778.00,3593224.00,4709380.00,3136656.00,1268012.00,48315.00,19236.00,0.00,0.00
Manufacture of photographic equipment and accessories,15280,2015,A,11,6122,6119,7671730.00,7267469.00,1214710.00,6052759.00,7832657.00,5397334.00,2000928.00,642237.00,331702.00,0.00,0.00
Manufacture of switch gear and switchboard apparatus,15284,2015,B,3,50,50,90880.00,90001.00,8142.00,81860.00,90929.00,74062.00,10415.00,0.00,1906.00,0.00,0.00
Manufacture of wood carvings,15130,2015,B,84,992,908,238827.00,220076.00,52846.00,167230.00,255237.00,166880.00,79211.00,0.00,32822.00,0.00,0.00
Manufacture of other builders' carpentry and joinery; millworking,15128,2015,B,60,784,709,816336.00,730471.00,49808.00,680664.00,807000.00,630202.00,153993.00,36.00,-2543.00,0.00,0.00
Manufacture and assembly of motorcycles,15359,2015,A,11,3297,3291,57765226.00,54160098.00,2073640.00,52086458.00,50696551.00,36584389.00,7906205.00,489497.00,-571127.00,0.00,0.00
Manufacture of refractory products,15208,2015,A,3,222,222,291872.00,232256.00,52716.00,179540.00,245120.00,76539.00,122682.00,761.00,8167.00,0.00,0.00
Manufacture of air and spacecraft and related machinery,15358,2015,A,9,3912,3912,19549461.00,16841002.00,4051255.00,12789747.00,20277775.00,11446021.00,8001461.00,668384.00,2166992.00,0.00,0.00
Manufacture of machinery for working rubber or plastic or for the manufacture of products of these materials,15346,2015,B,10,86,86,1410720.00,1332861.00,75560.00,1257302.00,1412477.00,1109281.00,192626.00,2355.00,-19030.00,0.00,0.00
"Manufacture of glass and glass products, n.e.c.",15207,2015,A,12,570,564,851329.00,837543.00,109277.00,728266.00,872017.00,669005.00,158071.00,22871.00,4895.00,0.00,0.00
"Manufacture of food products, n.e.c.",1563,2015,B,131,1464,1306,1680928.00,1641628.00,120027.00,1521601.00,1655888.00,1406133.00,193361.00,9033.00,50125.00,0.00,0.00
Manufacture of desiccated coconut,1519,2015,B,8,58,56,68043.00,57889.00,9091.00,48798.00,68056.00,47114.00,20032.00,0.00,9262.00,0.00,0.00
Custom tailoring,15104,2015,B,360,3485,2963,464097.00,353432.00,192243.00,161189.00,439722.00,121905.00,304103.00,0.00,-17.00,0.00,0.00
Manufacture of box beds and mattresses,15369,2015,B,15,196,196,199785.00,160418.00,15951.00,144467.00,190678.00,114283.00,58089.00,0.00,-13277.00,0.00,0.00
Paper and paperboard milling,15141,2015,A,23,3210,3210,18318217.00,17011078.00,1134270.00,15876808.00,18510548.00,13779914.00,3089315.00,337254.00,-67744.00,0.00,0.00
"Manufacture of macaroni, noodles, couscous and similar farinaceous products",1552,2015,B,68,663,540,353497.00,288630.00,34113.00,254517.00,267976.00,159267.00,111431.00,8586.00,-18314.00,0.00,0.00
Printing,15149,2015,A,317,16376,16267,25757998.00,23656467.00,3380443.00,20276024.00,25660140.00,16566856.00,6857220.00,128120.00,414365.00,0.00,0.00
Manufacture of plastic synthetic resins,15167,2015,B,6,95,95,1615108.00,1523636.00,58023.00,1465612.00,1591761.00,1384502.00,174572.00,16727.00,-38256.00,0.00,0.00
Casting/foundry of iron,15236,2015,B,6,65,65,58063.00,50144.00,9945.00,40199.00,57443.00,32382.00,19192.00,1725.00,-3809.00,0.00,0.00
Manufacture of writing and drawing ink,15182,2015,A,3,233,233,305064.00,298261.00,41466.00,256796.00,306054.00,194031.00,61669.00,1477.00,9223.00,0.00,0.00
"Manufacture of ice, except dry ice",1557,2015,B,261,3838,3838,4350441.00,3813862.00,663514.00,3150347.00,4360022.00,1945300.00,2133940.00,3004177.00,-74168.00,0.00,0.00
Manufacture of fa bricated wire products,15259,2015,A,21,4761,4748,5358247.00,5074364.00,838304.00,4236060.00,5333061.00,3459372.00,1449653.00,420584.00,162371.00,0.00,0.00
"Manufacture of fiber batting, padding and upholstery filling including coir",1597,2015,B,9,142,134,94301.00,132504.00,44124.00,88380.00,93386.00,47635.00,26309.00,26.00,7243.00,0.00,0.00
Manufacture of rubber tires (including parts) and tubes,15190,2015,A,7,3793,3758,17483426.00,15850325.00,1338320.00,14512005.00,16743618.00,10482664.00,5686767.00,2492309.00,-478227.00,0.00,0.00
"Manufacture of basic chemicals, except fertilizers and nitrogen compounds, n.e.c.",15165,2015,B,18,297,284,917513.00,885326.00,37206.00,848120.00,915695.00,796472.00,104225.00,5639.00,1419.00,0.00,0.00
"Manufature of products of leather and imitation leather, n.e.c.",15111,2015,A,11,8476,8474,17444857.00,15460477.00,1640470.00,13820007.00,17311741.00,12170042.00,4363764.00,101183.00,-1451473.00,0.00,0.00
Production processing and preserving of meat and meat products,152,2015,B,85,822,822,637117.00,580819.00,89380.00,491438.00,633599.00,428117.00,164521.00,18000.00,15613.00,0.00,0.00
Manufacture of cigarette lighters,15404,2015,A,9,747,747,5185934.00,4886517.00,422142.00,4464375.00,5104577.00,2670758.00,1019554.00,83240.00,102841.00,0.00,0.00
Manufacture of muscovado sugar not carried on in the farm,1546,2015,B,14,215,203,14939.00,13802.00,2981.00,10821.00,13814.00,9584.00,4600.00,0.00,-158.00,0.00,0.00
Custom dressmaking,15105,2015,A,15,444,429,148406.00,165266.00,34857.00,130410.00,134612.00,91204.00,23809.00,652.00,-29752.00,0.00,0.00
Manufacture of switch gear and switchboard apparatus,15284,2015,A,3,356,356,1026464.00,995801.00,80420.00,915381.00,1011556.00,824435.00,152574.00,20319.00,9385.00,0.00,0.00
Operation of rolling mills,15226,2015,A,23,1768,1764,19768686.00,17083821.00,768223.00,16315598.00,19449911.00,15270822.00,3834438.00,81591.00,170880.00,0.00,0.00
Manufacture of wooden containers,15129,2015,A,12,494,488,322678.00,308658.00,49851.00,258807.00,319532.00,227052.00,75168.00,5745.00,-20977.00,0.00,0.00
Manufacture of activated carbon,15184,2015,A,5,359,359,2622356.00,2518722.00,130660.00,2388062.00,2552890.00,2107835.00,286789.00,58179.00,74210.00,0.00,0.00
"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes",1537,2015,A,3,234,234,1510233.00,1269410.00,166080.00,1103330.00,1447029.00,971408.00,400200.00,5471.00,-78363.00,0.00,0.00
Slaughtering and meat packing,151,2015,B,37,476,475,205773.00,104999.00,26778.00,78221.00,195420.00,63758.00,138064.00,4657.00,227.00,0.00,0.00
Manufacture of cigarette lighters,15404,2015,B,27,273,267,505194.00,476578.00,49537.00,427041.00,504701.00,384257.00,86876.00,2031.00,946.00,0.00,0.00
"Manufacture of other porcelain and ceramic products, n.e.c.",15214,2015,B,5,66,65,68415.00,70569.00,10855.00,59714.00,55643.00,44393.00,11866.00,0.00,-11185.00,0.00,0.00
Manufacture of textile industrial bags,1584,2015,A,12,8949,8936,7790220.00,6880980.00,1349561.00,5531419.00,7592947.00,5002190.00,2392952.00,10015.00,-318101.00,0.00,0.00
Manufacture of vinegar,1562,2015,B,7,58,44,20634.00,15741.00,6947.00,8795.00,22850.00,9588.00,12630.00,0.00,705.00,0.00,0.00
"Manufacture of other architectural and related metal work (e.g., doors, windows, shutters, gates, etc.)",15243,2015,B,174,1934,1775,649383.00,619831.00,116178.00,503653.00,633150.00,426581.00,185144.00,374.00,-6461.00,0.00,0.00
Manufacture of soap and detergents,15176,2015,B,48,451,451,380290.00,340792.00,44079.00,296713.00,367474.00,216364.00,125332.00,13725.00,-20953.00,0.00,0.00
Manufacture of household and personal hygiene paper and cellulose wadding products,15145,2015,A,15,1955,1954,4715509.00,4523865.00,284620.00,4239245.00,4598866.00,3395447.00,660842.00,4842.00,-218175.00,0.00,0.00
"Manufacture of medical, surgical, dental furniture and fixtures",15388,2015,A,7,4619,4615,7633053.00,7505269.00,1130537.00,6374732.00,7504252.00,4721543.00,1998770.00,25390.00,-178436.00,0.00,0.00
Operation of blast furnaces and steel making furnaces,15225,2015,A,50,4720,4720,65401928.00,62480120.00,1464164.00,61015956.00,65858407.00,60997932.00,3247525.00,813353.00,-1466567.00,0.00,0.00
Parts and accessories for the machine tools classified in this group,15335,2015,A,3,347,347,331650.00,324344.00,99728.00,224616.00,318861.00,163183.00,110163.00,10127.00,-16016.00,0.00,0.00
