id,industry_desc,ind_code
359,Manufacture and assembly of motorcycles,15359
360,Manufacture of motorcycle engines and parts thereof,15360
361,Manufacture of tricycles and parts thereof,15361
362,Manufacture of side cars,15362
363,Manufacture of parts and accessories of motorcycles,15363
364,Manufacture of bicycles and bicycle parts,15364
365,"Manufacture of invalid carriages, motorized and non-motorized",15365
366,Manufacture of hand-propelled vehicles,15366
367,Manufacture of wood furniture,15367
368,"Manufacture of rattan furniture (reed, wicker, and cane)",15368
369,Manufacture of box beds and mattresses,15369
370,"Manufacture of partitions, shelves, lockers and office and store fixtures",15370
371,Manufacture of plastic furniture,15371
372,Manufacture of furniture and fixtures of metal,15372
373,"Manufacture of other furniture and fixtures, n.e.c.",15373
374,Manufacture of jewelry made of precious and semi-precious stones,15374
375,Manufacture of silverware and plated ware,15375
376,Manufacture of articles related to jewelry,15376
377,Manufacture of imitation of jewelry and related articles,15377
378,Manufacture of guitars,15378
379,Manufacture of wind and percussion instruments,15379
380,Manufacture of musical instrument parts and accessories,15380
381,Manufacture of sporting gloves and mitts,15381
382,Manufacture of sporting balls,15382
383,"Manufacture of sporting and athletic goods, n.e.c.",15383
384,Manufacture of dolls and doll garments,15384
385,Manufacture of wheeled toys,15385
386,"Manufacture of electronic games (video games, checkers)",15386
387,"Manufacture of toys and games, n.e.c.",15387
388,"Manufacture of medical, surgical, dental furniture and fixtures",15388
389,"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles",15389
390,"Manufacture of prosthetic appliances, artificial teeth made to order",15390
391,Manufacture of medical and precision instruments,15391
392,"Manufacture of other medical and dental instruments and supplies, n.e.c.",15392
393,Manufacture of pens and pencils of all kinds,15393
394,"Manufacture of umbrellas, walking sticks, canes, whips and riding crops",15394
395,"Manufacture of articles for personal use, e.g. smoking pipes, combs, slides and similar articles",15395
396,Manufacture of candles,15396
397,"Manufacture of artificial flowers, fruits and foliage",15397
398,Manufacture of wooden coffin,15398
399,Manufacture of metal coffin,15399
400,"Manufacture of buttons, except plastic",15400
401,"Manufacture of brooms, brushes and fans",15401
402,"Manufacture of identification plates, badges, emblems and tags",15402
403,Manufacture of signs and advertising displays,15403
404,Manufacture of cigarette lighters,15404
405,"Manufacture of miscellaneous articles, n.e.c.",15405
406,Repair of fabricated metal products,15406
407,Repair of machinery,15407
408,Repair of electronic and optical equipment,15408
409,Repair of electrical equipment,15409
410,Repairing of ships and boats other than sports and pleasure boats,15410
411,Repairing of sports and pleasure boats,15411
412,"Repair of transport equipment, except motor vehicles, n.e.c.",15412
413,Repair of other equipmen t,15413
414,Installation of industrial machinery and equipment,15414
415,Slaughtering and meat packing,161
416,Production processing and preserving of meat and meat products,162
417,Canning/packing of fish and other marine products,163
418,Drying of fish and other marine products,164
419,Smoking of fish and other marine products,165
420,Manufacture of fish paste (bagoong) and fish sauce(patis),166
421,Processing of seaweeds; manufacture of agar-agar or carageenan,167
422,Production of fishmeal/prawn feeds,168
423,"Manufacture of unprepared animal feeds from fish, crustaceans and mollusks and other aquatic animals",169
424,"Processing, preserving and canning of fish, crustacean and mollusks, n.e.c. manufacture of fishball, etc.",1610
425,Canning/packing and preserving of fruits and fruit juices,1611
426,Canning/packing and preserving of vegetables and vegetable juices,1612
427,Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste),1613
428,Quick-freezing of fruits and vegetables,1614
429,Roasting of nut or manufacture of nut foods and pastes,1615
430,"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",1616
431,"Processing and preserving of fruits and vegetables, n.e.c.",1617
432,Manufacture of virgin coconut oil,1618
433,Manufacture of desiccated coconut,1619
434,Manufacture of nata de coco,1620
435,"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",1621
436,Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine,1622
437,"Manufacture of unprepared animal feeds from vegetable, animal oils and fats",1623
438,"Manufacture of vegetable and animal oil and fats, n.e.c.",1624
439,Processing of fresh milk and cream,1625
440,"Manufacture of powdered milk (except for infants) and condensed or evaporated milk (filled, combined or reconstituted)",1626
441,Manufacture of infants' powdered milk,1627
442,"Manufacture of butter, cheese and curd",1628
443,"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",1629
444,Manufacture of milk-based infants' and dietetic foods,1630
445,"Manufacture of dairy products, n.e.c.",1631
446,Rice/corn milling,1632
447,Cassava flour milling,1633
448,Flour milling except cassava flour milling,1634
449,"Manufacture of cereal breakfast foods obtained by roasting or swelling, etc.",1635
450,Manufacture of unprepared animal feeds from grain milling residues,1636
451,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes",1637
452,"Manufacture of grain and vegetable mill products, n.e.c.",1638
453,Manufacture of starches and starch products,1639
454,"Baking of bread, cakes, pastries, pies and similar 'perishable' bakery products, including hopia and doughnut making",1640
455,"Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",1641
456,Manufacture of ice cream cones (apa) and wafers (barquillos),1642
457,"Manufacture of snack products such as corn curls, wheat crunchies and similar products",1643
458,Sugarcane milling,1644
459,Sugar refining,1645
460,Manufacture of muscovado sugar not carried on in the farm,1646
461,"Manufacture of sugar, n.e.c.",1647
462,Manufacture of chocolate and cocoa products including chocolate candies,1648
463,Manufacture of candies (excluding chocolate candies) and chewing gum,1649
464,Manufacture of popcorn and poprice,1650
465,"Manufacture of chocolate and sugar confectionery products, n.e.c.",1651
466,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",1652
467,Manufacture of prepared meals and dishes,1653
468,Manufacture of food supplements from herbs and other plants,1654
469,Coffee roasting and processing,1655
470,"Manufacture of herb from drying and further extraction ( e.g. banaba, ampalaya, moringa (malunggay), sambong, lagundi etc.)",1656
471,"Manufacture of ice, except dry ice",1657
472,Manufacture of infant or dietetic foods containing homogenized ingredients,1658
473,Egg processing including fertilized egg (balut) and salted eggs,1659
474,Manufacture of flavoring extracts and food coloring,1660
475,"Manufacture of mayonnaise, salad dressing, sandwich spread and similar products",1661
476,Manufacture of vinegar,1662
477,"Manufacture of food products, n.e.c.",1663
478,Manufacture of prepared animal feeds,1664
479,"Distilling, rectifying and blending of spirits",1665
480,Fruit wine manufacturing,1666
481,"Wine manufacturing, n.e.c.",1667
482,Manufacture of malt liquors and malt,1668
483,"Manufacture of soft drinks except drinks flavored with fruit juices, syrups or other materials",1669
484,"Manufacture of drinks flavored with fruit juices, syrups or other materials",1670
485,Manufacture of bottled water,1671
486,Manufacture of sports and energy drink,1672
487,"Manufacture of other beverages, n.e.c.",1673
488,Manufacture of cigarettes,1674
489,Manufacture of cigars,1675
490,"Manufacture of chewing and smoking tobacco, snuff",1676
491,Curing and redrying tobacco leaves,1677
492,Spinning,1678
493,Weaving of textiles,1679
494,Finishing of textiles,1680
495,Preparation and finishing of textiles (integrated),1681
496,Manufacture of knitted and crocheted fabrics,1682
497,Manufacture of textile industrial bags,1683
498,Manufacture of made-up textile goods for house furnishings,1684
499,Manufacture of canvas products,1685
500,"Manufacture of made-up textile articles, except wearing apparel, n.e.c.",1686
501,"Manufacture of carpets and rugs, except mats of textile materials",1687
502,Manufacture of mats (including mattings) of textile materials,1688
503,"Manufacture of cordage, rope, and twine",1689
504,"Manufacture of fishing nets and other nettings, (excluding mosquito and hairnets)",1690
505,"Manufacture of products of cordage, rope and twine products",1691
506,Manufacture of embroidered fabrics,1692
507,"Manufacture of narrow fabrics, laces, tulles and other net fabrics",1693
508,"Manufacture of fabrics, impregnated, coated, covered or laminated with plastic",1694
509,"Manufacture of fabrics, impregnated, coated, covered or laminated other than with plastic and rubber",1695
510,"Manufacture of fiber batting, padding and upholstery filling including coir",1696
511,"Manufacture of miscellaneous textiles, n.e.c.",1697
512,Men's and boys' garment manufacturing,1698
513,Women's and girls' and babies' garment manufacturing,1699
514,Ready-made embroidered garments manufacturing,16100
515,"Manufacture of hats, gloves, handkerchiefs, neckwear and belts regardless of material",16101
516,"Manufacture of wearing apparel, n.e.c",16102
517,Custom tailoring,16103
518,Custom dressmaking,16104
519,Manufacture of knitted and crocheted apparel,16105
520,"Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted or crocheted directly into shape",16106
521,"Manufacture of knitted and crocheted articles, n.e.c.",16107
522,Tanning and dressing of leather,16108
523,"Manufacture of luggage, handbags and wallets of leather and imitation leather",16109
524,"Manufacture of products of leather and imitation leather, n.e.c.",16110
525,Manufacture of leather shoes,16111
526,Manufacture of rubber shoes,16112
527,Manufacture of plastic shoes,16113
528,Manufacture of shoes made of textile materials with applied soles,16114
529,Manufacture of wooden footwear and accessories,16115
530,Manufacture of rubber slippers,16116
531,"Manufacture of slippers and sandals, other than rubber",16117
532,Manufacture of leather parts of footwear,16118
533,"Manufacture of other footwear, n.e.c.",16119
534,Manufacture of rough lumber,16120
535,Manufacture of worked lumber,16121
536,Wood preserving and drying,16122
